timestamp,hashrate_in_phs,daily_reward
2022-06-01,12.25,0.05198411
2022-05-31,14.30,0.06046133
2022-05-30,8.76,0.03698582
2022-05-29,10.71,0.04518151
2022-05-28,16.76,0.07108354
2022-05-27,18.61,0.07916007
2022-05-26,18.82,0.08000117
2022-05-25,18.90,0.07844358
2022-05-24,18.56,0.07523681
2022-05-23,16.42,0.06658539
2022-05-22,14.96,0.06043651
2022-05-21,14.90,0.06057809
2022-05-20,14.39,0.05864907
2022-05-19,5.38,0.02190736
2022-05-18,8.17,0.03330003
2022-05-17,14.05,0.05717983
2022-05-16,3.69,0.01498542
2022-05-04,0.8806,0.00341282
2022-05-03,1.53,0.00648889
2022-05-02,1.00,0.00422802
2022-05-01,1.00,0.00423766
2022-04-30,1.51,0.00633746
2022-04-29,1.48,0.00628203
2022-04-28,1.50,0.00636186
2022-04-27,1.51,0.00662998
2022-04-26,1.46,0.00652525
2022-04-25,1.51,0.00675297
2022-04-24,1.18,0.00526372
2022-04-23,1.45,0.00646533
2022-04-22,1.21,0.00538837
2022-04-21,1.53,0.00682716
2022-04-20,1.43,0.00636211
2022-04-19,1.52,0.00680738
2022-04-18,1.52,0.00676997
2022-04-17,1.20,0.00534131
2022-04-16,1.55,0.00692410
2022-04-15,1.55,0.00691368
2022-04-14,1.55,0.00690292
2022-04-13,1.57,0.00691535
2022-04-12,1.56,0.00690414
2022-04-11,1.32,0.00582910
2022-04-10,1.55,0.00683006
2022-04-09,1.57,0.00691068
2022-04-08,1.01,0.00444939
2022-04-07,0.09917,0.00043438
